	,	£f,	ID,	;,	(,	),	int,	void,	float,	,,	{,	},	if,	else,	while,	for,	return,	break,	=,	<=,	<,	>,	>=,	==,	!=,	&&,	||,	¡÷,	+,	-,	*,	/,	INT_NUM,	FLOAT_NUM,	f,
N9,	,	 55,	 54,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	 55,	,	,	,	,	,	,	,
expression,	,	 56,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	 57,	,	,	,	,	,	,	,
id-assign,	,	 58,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
simple-expression,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	 59,	,	,	,	,	,	,	,
N7,	 61,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	 60,	 60,	 60,	 60,	 60,	 60,	 60,	 60,	,	,	,	,	,	,	,	,
relop,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	 62,	 63,	 64,	 65,	 66,	 67,	 68,	 69,	,	,	,	,	,	,	,	,
additive-expression,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	 70,	,	,	,	,	,	,	,
N5,	,	 71,	,	 71,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	 71,	 71,	,	,	 71,	 71,	,
T5,	 73,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	 72,	 72,	,	,	,	,	,
addop,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	 74,	 75,	,	,	,	,	,
term,	,	 76,	,	 76,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	 76,	 76,	,	,	 76,	 76,	,
N6,	,	 77,	,	 77,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	 77,	 77,	,	,	 77,	 77,	,
T6,	 79,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	 78,	 78,	,	,	,
mulop,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	 80,	 81,	,	,	,
factor,	,	 83,	,	 82,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	 84,	 84,	,	,	 84,	 84,	,
N11,	,	 85,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
T11,	 87,	,	,	 86,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
call,	,	 88,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
args,	 90,	 89,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	 89,	,	,	,	,	,	,	,
arg-list,	,	 91,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	 91,	,	,	,	,	,	,	,
N10,	,	 92,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	 92,	,	,	,	,	,	,	,
T10,	 94,	,	,	,	,	,	,	,	 93,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
num,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	 95,	 96,	,	,	 95,	 95,	,
pos-num,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	 97,	,	,	,	 98,	 98,	,
neg-num,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	 99,	,	,	,	,	,
value,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	 100,	 101,	,
